INSTRUCTION, CurrentState, NextState, R0, R1, R2, R3, R4, R5, R6, R7
xxxx, 00, 12, xxxx, xxxx, xxxx, xxxx, xxxx, xxxx, xxxx, xxxx
0000, 00, 12, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000
5020, 05, 12, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000
5260, 05, 12, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000
200d, 1b, 12, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000
e20d, 0e, 12, 1234, 0000, 0000, 0000, 0000, 0000, 0000, 0000
6040, 1b, 12, 1234, 0012, 0000, 0000, 0000, 0000, 0000, 0000
300c, 10, 12, 8888, 0012, 0000, 0000, 0000, 0000, 0000, 0000
e20c, 0e, 12, 8888, 0012, 0000, 0000, 0000, 0000, 0000, 0000
7040, 10, 12, 8888, 0014, 0000, 0000, 0000, 0000, 0000, 0000
5020, 05, 12, 8888, 0014, 0000, 0000, 0000, 0000, 0000, 0000
5260, 05, 12, 0000, 0014, 0000, 0000, 0000, 0000, 0000, 0000
e009, 0e, 12, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000
e209, 0e, 12, 0015, 0000, 0000, 0000, 0000, 0000, 0000, 0000
7200, 10, 12, 0015, 0016, 0000, 0000, 0000, 0000, 0000, 0000
a406, 1b, 12, 0015, 0016, 0000, 0000, 0000, 0000, 0000, 0000
14aa, 01, 12, 0015, 0016, 9090, 0000, 0000, 0000, 0000, 0000
b404, 10, 12, 0015, 0016, 909a, 0000, 0000, 0000, 0000, 0000
1234, 01, 12, 0015, 0016, 909a, 0000, 0000, 0000, 0000, 0000
8888, 00, 12, 0015, 0009, 909a, 0000, 0000, 0000, 0000, 0000
8888, 00, 12, 0015, 0009, 909a, 0000, 0000, 0000, 0000, 0000
8888, 00, 12, 0015, 0009, 909a, 0000, 0000, 0000, 0000, 0000
0016, 00, 12, 0015, 0009, 909a, 0000, 0000, 0000, 0000, 0000
909a, 09, 12, 0015, 0009, 909a, 0000, 0000, 0000, 0000, 0000
xxxx, 00, 12, 6f65, 0009, 909a, 0000, 0000, 0000, 0000, 0000
xxxx, 00, 12, 6f65, 0009, 909a, 0000, 0000, 0000, 0000, 0000
xxxx, 00, 12, 6f65, 0009, 909a, 0000, 0000, 0000, 0000, 0000
xxxx, 00, 12, 6f65, 0009, 909a, 0000, 0000, 0000, 0000, 0000
0000, 00, 12, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000
