INSTRUCTION, State, R0, R1, R2, R3, R4, R5, R6, R7
zzzz, 12, 0000, 0000, 0000, 0000, 0000, 0000, 0000
    0zzzz, 12, 0000, 0000, 0000, 0000, 0000, 0000, 0000
    0zzzz, 12, 0000, 0000, 0000, 0000, 0000, 0000, 0000
    0zzzz, 12, 0000, 0000, 0000, 0000, 0000, 0000, 0000
    0zzzz, 12, 0000, 0000, 0000, 0000, 0000, 0000, 0000
    0zzzz, 12, 1234, 0000, 0000, 0000, 0000, 0000, 0000
    0zzzz, 12, 1234, 0009, 0000, 0000, 0000, 0000, 0000
    0zzzz, 12, 8888, 0009, 0000, 0000, 0000, 0000, 0000
    0zzzz, 12, 8888, 0009, 0000, 0000, 0000, 0000, 0000
    0zzzz, 12, 8888, 0009, 0000, 0000, 0000, 0000, 0000
    0zzzz, 12, 8888, 887c, 0000, 0000, 0000, 0000, 0000
    0zzzz, 12, 8888, 887c, 0000, 0000, 0000, 0000, 0000
    0zzzz, 12, 8888, 887c, 0000, 0000, 0000, 0000, 0000
    0zzzz, 12, 8888, 887c, 0000, 0000, 0000, 0000, 0000
    0
--- Simulation Ended ---
zzzz, 12, 0000, 0000, 0000, 0000, 0000, 0000, 0000
    0zzzz, 12, 0000, 0000, 0000, 0000, 0000, 0000, 0000
    0
