INSTRUCTION, NextState, PC, PSR, R0, R1, R2, R3, R4, R5, R6, R7
0000, 21, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000
1021, 21, 0001, 0001, 0001, 0000, 0000, 0000, 0000, 0000, 0000, 0000
2205, 21, 0002, 0001, 0001, 4040, 0000, 0000, 0000, 0000, 0000, 0000
1240, 21, 0003, 0001, 0001, 4041, 0000, 0000, 0000, 0000, 0000, 0000
e404, 21, 0004, 0001, 0001, 4041, 0008, 0000, 0000, 0000, 0000, 0000
6680, 21, 0005, 0004, 0001, 4041, 0008, 8080, 0000, 0000, 0000, 0000
72bf, 21, 0006, 0004, 0001, 4041, 0008, 8080, 0000, 0000, 0000, 0000
